driverId,url,givenName,familyName,dateOfBirth,nationality
ader,http://en.wikipedia.org/wiki/Walt_Ader,Walt,Ader,1913-12-15,American
agabashian,http://en.wikipedia.org/wiki/Fred_Agabashian,Fred,Agabashian,1913-08-21,American
ascari,http://en.wikipedia.org/wiki/Alberto_Ascari,Alberto,Ascari,1918-07-13,Italian
banks,http://en.wikipedia.org/wiki/Henry_Banks,Henry,Banks,1913-06-14,American
bettenhausen,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American
biondetti,http://en.wikipedia.org/wiki/Clemente_Biondetti,Clemente,Biondetti,1898-08-18,Italian
bira,http://en.wikipedia.org/wiki/Prince_Bira,Prince,Bira,1914-07-15,Thai
bonetto,http://en.wikipedia.org/wiki/Felice_Bonetto,Felice,Bonetto,1903-06-09,Italian
branca,http://en.wikipedia.org/wiki/Toni_Branca,Toni,Branca,1916-09-15,Swiss
walt_brown,http://en.wikipedia.org/wiki/Walt_Brown_(auto_racer),Walt,Brown,1911-12-30,American
cabantous,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous,Yves,Cabantous,1904-10-08,French
cantrell,http://en.wikipedia.org/wiki/William_Cantrell,Bill,Cantrell,1908-01-31,American
darter,http://en.wikipedia.org/wiki/Duane_Carter,Duane,Carter,1913-05-05,American
chaboud,http://en.wikipedia.org/wiki/Eug%C3%A8ne_Chaboud,Eugène,Chaboud,1907-04-12,French
chiron,http://en.wikipedia.org/wiki/Louis_Chiron,Louis,Chiron,1899-08-03,Monegasque
chitwood,http://en.wikipedia.org/wiki/Joie_Chitwood,Joie,Chitwood,1912-04-14,American
claes,http://en.wikipedia.org/wiki/Johnny_Claes,Johnny,Claes,1916-08-11,Belgian
comotti,http://en.wikipedia.org/wiki/Franco_Comotti,Franco,Comotti,1906-07-24,Italian
george_connor,http://en.wikipedia.org/wiki/George_Connor_(driver),George,Connor,1906-08-16,American
crossley,http://en.wikipedia.org/wiki/Geoff_Crossley,Geoff,Crossley,1921-05-11,British
davies,http://en.wikipedia.org/wiki/Jimmy_Davies,Jimmy,Davies,1929-08-08,American
graffenried,http://en.wikipedia.org/wiki/Toulo_de_Graffenried,Toulo,de Graffenried,1914-05-18,Swiss
dinsmore,http://en.wikipedia.org/wiki/Duke_Dinsmore,Duke,Dinsmore,1913-04-10,American
etancelin,http://en.wikipedia.org/wiki/Philippe_%C3%89tancelin,Philippe,Étancelin,1896-12-28,French
fagioli,http://en.wikipedia.org/wiki/Luigi_Fagioli,Luigi,Fagioli,1898-06-09,Italian
fangio,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio,Juan,Fangio,1911-06-24,Argentine
farina,http://en.wikipedia.org/wiki/Nino_Farina,Nino,Farina,1906-10-30,Italian
faulkner,http://en.wikipedia.org/wiki/Walt_Faulkner,Walt,Faulkner,1920-02-16,American
flaherty,http://en.wikipedia.org/wiki/Pat_Flaherty_(racing_driver),Pat,Flaherty,1926-01-06,American
fohr,http://en.wikipedia.org/wiki/Myron_Fohr,Myron,Fohr,1912-06-17,American
abecassis,http://en.wikipedia.org/wiki/George_Abecassis,George,Abecassis,1913-03-21,British
agabashian,http://en.wikipedia.org/wiki/Fred_Agabashian,Fred,Agabashian,1913-08-21,American
ascari,http://en.wikipedia.org/wiki/Alberto_Ascari,Alberto,Ascari,1918-07-13,Italian
ayulo,http://en.wikipedia.org/wiki/Manny_Ayulo,Manny,Ayulo,1921-10-20,American
ball,http://en.wikipedia.org/wiki/Bobby_Ball_(auto_racer),Bobby,Ball,1925-08-26,American
banks,http://en.wikipedia.org/wiki/Henry_Banks,Henry,Banks,1913-06-14,American
bettenhausen,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American
bira,http://en.wikipedia.org/wiki/Prince_Bira,Prince,Bira,1914-07-15,Thai
bonetto,http://en.wikipedia.org/wiki/Felice_Bonetto,Felice,Bonetto,1903-06-09,Italian
branca,http://en.wikipedia.org/wiki/Toni_Branca,Toni,Branca,1916-09-15,Swiss
walt_brown,http://en.wikipedia.org/wiki/Walt_Brown_(auto_racer),Walt,Brown,1911-12-30,American
cabantous,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous,Yves,Cabantous,1904-10-08,French
darter,http://en.wikipedia.org/wiki/Duane_Carter,Duane,Carter,1913-05-05,American
chaboud,http://en.wikipedia.org/wiki/Eug%C3%A8ne_Chaboud,Eugène,Chaboud,1907-04-12,French
chiron,http://en.wikipedia.org/wiki/Louis_Chiron,Louis,Chiron,1899-08-03,Monegasque
claes,http://en.wikipedia.org/wiki/Johnny_Claes,Johnny,Claes,1916-08-11,Belgian
george_connor,http://en.wikipedia.org/wiki/George_Connor_(driver),George,Connor,1906-08-16,American
davies,http://en.wikipedia.org/wiki/Jimmy_Davies,Jimmy,Davies,1929-08-08,American
graffenried,http://en.wikipedia.org/wiki/Toulo_de_Graffenried,Toulo,de Graffenried,1914-05-18,Swiss
dinsmore,http://en.wikipedia.org/wiki/Duke_Dinsmore,Duke,Dinsmore,1913-04-10,American
etancelin,http://en.wikipedia.org/wiki/Philippe_%C3%89tancelin,Philippe,Étancelin,1896-12-28,French
fagioli,http://en.wikipedia.org/wiki/Luigi_Fagioli,Luigi,Fagioli,1898-06-09,Italian
fangio,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio,Juan,Fangio,1911-06-24,Argentine
farina,http://en.wikipedia.org/wiki/Nino_Farina,Nino,Farina,1906-10-30,Italian
faulkner,http://en.wikipedia.org/wiki/Walt_Faulkner,Walt,Faulkner,1920-02-16,American
fischer,http://en.wikipedia.org/wiki/Rudi_Fischer,Rudi,Fischer,1912-04-19,Swiss
forberg,http://en.wikipedia.org/wiki/Carl_Forberg,Carl,Forberg,1911-03-04,American
force,http://en.wikipedia.org/wiki/Gene_Force,Gene,Force,1916-06-15,American
parker,http://en.wikipedia.org/wiki/Philip_Fotheringham-Parker,Philip,Fotheringham-Parker,1907-09-22,British
gerard,http://en.wikipedia.org/wiki/Bob_Gerard,Bob,Gerard,1914-01-19,British
abecassis,http://en.wikipedia.org/wiki/George_Abecassis,George,Abecassis,1913-03-21,British
agabashian,http://en.wikipedia.org/wiki/Fred_Agabashian,Fred,Agabashian,1913-08-21,American
ascari,http://en.wikipedia.org/wiki/Alberto_Ascari,Alberto,Ascari,1918-07-13,Italian
aston,http://en.wikipedia.org/wiki/Bill_Aston,Bill,Aston,1900-03-29,British
ayulo,http://en.wikipedia.org/wiki/Manny_Ayulo,Manny,Ayulo,1921-10-20,American
ball,http://en.wikipedia.org/wiki/Bobby_Ball_(auto_racer),Bobby,Ball,1925-08-26,American
balsa,http://en.wikipedia.org/wiki/Marcel_Balsa,Marcel,Balsa,1909-01-01,French
banks,http://en.wikipedia.org/wiki/Henry_Banks,Henry,Banks,1913-06-14,American
bayol,http://en.wikipedia.org/wiki/%C3%89lie_Bayol,Élie,Bayol,1914-02-28,French
bechem,http://en.wikipedia.org/wiki/G%C3%BCnther_Bechem,Günther,Bechem,1921-12-21,German
behra,http://en.wikipedia.org/wiki/Jean_Behra,Jean,Behra,1921-02-16,French
bettenhausen,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American
bianco,http://en.wikipedia.org/wiki/Gino_Bianco,Gino,Bianco,1916-07-22,Brazilian
bira,http://en.wikipedia.org/wiki/Prince_Bira,Prince,Bira,1914-07-15,Thai
bonetto,http://en.wikipedia.org/wiki/Felice_Bonetto,Felice,Bonetto,1903-06-09,Italian
brandon,http://en.wikipedia.org/wiki/Eric_Brandon,Eric,Brandon,1920-07-18,British
alan_brown,http://en.wikipedia.org/wiki/Alan_Brown_(racing_driver),Alan,Brown,1919-11-20,British
brudes,http://en.wikipedia.org/wiki/Adolf_Brudes,Adolf,Brudes,1899-10-15,German
bryan,http://en.wikipedia.org/wiki/Jimmy_Bryan,Jimmy,Bryan,1926-01-28,American
cabantous,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous,Yves,Cabantous,1904-10-08,French
cantoni,http://en.wikipedia.org/wiki/Eitel_Cantoni,Eitel,Cantoni,1906-10-04,Uruguayan
carini,http://en.wikipedia.org/wiki/Piero_Carini,Piero,Carini,1921-03-06,Italian
darter,http://en.wikipedia.org/wiki/Duane_Carter,Duane,Carter,1913-05-05,American
claes,http://en.wikipedia.org/wiki/Johnny_Claes,Johnny,Claes,1916-08-11,Belgian
collins,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver),Peter,Collins,1931-11-06,British
comotti,http://en.wikipedia.org/wiki/Franco_Comotti,Franco,Comotti,1906-07-24,Italian
george_connor,http://en.wikipedia.org/wiki/George_Connor_(driver),George,Connor,1906-08-16,American
crespo,http://en.wikipedia.org/wiki/Alberto_Crespo,Alberto,Crespo,1920-01-16,Argentine
crook,http://en.wikipedia.org/wiki/Tony_Crook,Tony,Crook,1920-02-16,British
cross,http://en.wikipedia.org/wiki/Art_Cross,Art,Cross,1918-01-24,American
adolff,http://en.wikipedia.org/wiki/Kurt_Adolff,Kurt,Adolff,1921-11-05,German
agabashian,http://en.wikipedia.org/wiki/Fred_Agabashian,Fred,Agabashian,1913-08-21,American
ascari,http://en.wikipedia.org/wiki/Alberto_Ascari,Alberto,Ascari,1918-07-13,Italian
ayulo,http://en.wikipedia.org/wiki/Manny_Ayulo,Manny,Ayulo,1921-10-20,American
